Task ID;Status;Reservation ID;Listing;Can start from;Should end by;Cost;Cost currency;Categories
4720329;To Do;26704192;Bajcsy59;2024.05.17 11:00;2024.05.17 15:00;23;EUR;Cleaning
4721235;To Do;26708191;Király 14;2024.05.07 11:00;2024.05.08 15:00;23;EUR;Cleaning
4725250;Done;26725300;Király 14;2024.04.16 11:00;2024.04.17 15:00;23;EUR;Cleaning
4728305;To Do;26741528;Lovag 8;2024.05.10 11:00;2024.05.10 15:00;18;EUR;Cleaning
4735030;To Do;26771279;Lovag 8;2024.05.21 11:00;2024.05.23 15:00;18;EUR;Cleaning
4754499;To Do;26856674;Lovag 8;2024.05.28 11:00;2024.05.29 15:00;18;EUR;Cleaning
4754915;To Do;26858315;Gyulai Pal 12;2024.07.19 11:00;2024.07.19 15:00;23;EUR;Cleaning
4755003;To Do;26858754;Bajcsy59;2024.05.24 11:00;2024.05.24 15:00;23;EUR;Cleaning
4757356;To Do;26866883;Király 14;2024.06.21 11:00;2024.06.23 15:00;23;EUR;Cleaning
4758882;To Do;26874634;Gyulai Pal 12;2024.07.11 11:00;2024.07.12 15:00;23;EUR;Cleaning
4761210;To Do;26884984;Bajcsy59;2024.06.29 11:00;2024.07.19 15:00;23;EUR;Cleaning
4763603;Done;26890295;Bajcsy59;2024.04.20 11:00;2024.04.20 15:00;23;EUR;Cleaning
4765774;Cancelled;26897945;Vas 4 / 1;2024.05.05 11:00;2024.06.16 15:00;18;EUR;Cleaning
4767738;To Do;26908591;Király 14;2024.06.28 11:00;2024.06.28 15:00;23;EUR;Cleaning
4783479;To Do;26977050;Bajcsy 19;2024.05.18 11:00;2024.05.18 15:00;23;EUR;Cleaning
4794895;To Do;27021841;Lovag 8;2024.05.13 11:00;2024.05.14 15:00;18;EUR;Cleaning
4796068;To Do;27026783;Gyulai Pal 12;2024.07.02 11:00;2024.07.06 15:00;23;EUR;Cleaning
4801135;To Do;27051681;Lovag 8;2024.06.01 11:00;2024.06.14 15:00;18;EUR;Cleaning
4822588;Cancelled;27143028;Bajcsy59;2024.05.12 11:00;2024.05.13 15:00;23;EUR;Cleaning
4829210;To Do;27176099;Gyulai Pal 12;2024.07.28 11:00;2024.07.29 15:00;23;EUR;Cleaning
4830933;To Do;27183117;Gyulai Pal 12;2024.06.09 11:00;2024.06.13 15:00;23;EUR;Cleaning
4834246;To Do;27200820;Gyulai Pal 12;2024.06.23 11:00;2024.06.25 15:00;23;EUR;Cleaning
4834444;To Do;26313704;Nagymezo 36;2024.05.05 11:00;2024.05.09 15:00;23;EUR;Cleaning
4834445;To Do;26542926;Nagymezo 36;2024.05.31 11:00;2024.06.14 15:00;23;EUR;Cleaning
4834446;To Do;26606491;Nagymezo 36;2024.06.18 11:00;2024.06.19 15:00;23;EUR;Cleaning
4834447;To Do;26727690;Nagymezo 36;2024.05.12 11:00;2024.05.17 15:00;23;EUR;Cleaning
4834448;To Do;26752465;Nagymezo 36;2024.07.24 11:00;;23;EUR;Cleaning
4834449;To Do;26782784;Nagymezo 36;2024.06.22 11:00;2024.07.20 15:00;23;EUR;Cleaning
4834450;To Do;26808502;Nagymezo 36;2024.05.20 11:00;2024.05.20 15:00;23;EUR;Cleaning
4834451;Done;27104733;Nagymezo 36;2024.05.01 11:00;2024.05.01 15:00;23;EUR;Cleaning
4834452;Done;27123235;Nagymezo 36;2024.04.28 11:00;2024.04.28 15:00;23;EUR;Cleaning
4834453;To Do;26856776;Bajcsy 43;2024.05.04 11:00;2024.05.04 15:00;23;EUR;Cleaning
4834454;To Do;27045843;Bajcsy 19 / 2;2024.05.05 11:00;2024.05.07 15:00;23;EUR;Cleaning
4834455;To Do;27096083;Bajcsy 19 / 2;2024.05.23 11:00;2024.06.14 15:00;23;EUR;Cleaning
4834456;Done;27103223;Bajcsy 19 / 2;2024.05.01 11:00;2024.05.01 15:00;23;EUR;Cleaning
4834461;Done;27080354;Ant ÚJ Jokai 12 / 1 (kek);2024.05.02 11:00;2024.05.02 15:00;18;EUR;Cleaning
4834462;Done;26643217;Ant Jokai 12 / 2 (rozsaszin);2024.05.02 11:00;2024.05.02 15:00;18;EUR;Cleaning
